node_index;latitude;longitude
1;0;0
2;-0.656595800094153;0.7058172251360255
3;-0.4579936098140149;0.5761404805857057
4;-0.40046847769016203;0.5005057426009458
5;-0.36670756844696595;0.5220819468663074
6;-0.4550073578407656;0.6543525840942065
7;-0.5064696376756052;0.7281878233757697
8;-0.20195222743019076;0.33246999539204214
9;-0.000980679850671782;0.0017430625434809767
10;-0.15723023509021583;0.26948590533361005
11;-0.46865218161884464;0.7163107793855245
12;-0.4154725116748261;0.5508925412842433
13;-0.5182525769560744;0.7552948209000167
14;-0.5200523839068577;0.7296310834886314
15;-0.17087225454170377;0.23431319345661092
16;-0.08949642028262236;0.09838389480294132
17;-0.6256570353900387;-0.23404545299353288
18;-0.9431897500609413;-0.28393325867178554
19;-0.7294875328980924;-0.20594159207468157
20;-0.5314663154206871;-0.14541167619265907
21;-0.23024929022166013;-0.08075434571849198
22;-0.07210326201616737;-0.02702072550150931
23;-0.7907390168836759;-0.2921999438361302
24;-0.8424927140807533;-0.29303587957935456
25;-0.6790398745537605;-0.2568673758304337
26;-0.5844820454661671;-0.21853315201059387
27;-0.4718136935796005;-0.1855824306090823
28;-0.5869844440061175;-0.25252774599007755
29;-0.7884778916196802;-0.3280527616512073
30;-0.20743667661287074;-0.08453416584912447
31;-0.572951782697806;-0.2737722679589848
32;-0.28694586263682537;-0.0055742188338947915
33;-0.5848516316045995;-0.013174559174321407
34;-0.9569222862565042;-0.012195821646166739
35;-0.4269652671445327;0.005446159398863213
36;-0.30354686177150864;-0.0165922484512685
37;-0.8644493945856141;-0.05180004054598035
38;-0.950906699228411;-0.08832581368166659
39;-0.8314850846058032;-0.0765346593255647
40;-0.8210823167641669;-0.08999905053492792
41;-0.3119593311047446;-0.043662062899962835
42;-0.7639990125465397;-0.10366536947270504
43;-0.5079485482808462;-0.0786401443245165
44;-0.721627000068726;-0.12279443298379134
45;-0.40936693662229806;-0.03660206552198166
46;-0.3572010776550306;-0.058748532935595656
47;0.1363918155255511;0.026800609277477995
48;0.0889187052056959;0.019351068821709772
49;0.9308995044339556;0.14418776870669664
50;0.6780310006462857;0.08223723100029885
51;0.49165605699008114;0.07923586072584894
52;0.3428899212812204;0.05941802658923054
53;0.903680817546528;0.13695612435535312
54;0.3764371020508471;0.03433814496387488
55;0.835437968066514;0.11991414225559192
56;0.47927241283154315;0.07431658158601522
57;0.7439826444768626;0.1692891748376554
58;0.7109749020510084;0.21231742428156722
59;0.5913345059596123;0.17957589499011578
60;0.5520778116493645;0.12922495844243417
61;0.9333165279586458;0.1975759566324261
62;-0.6177481961422369;-0.22949546000523083
63;-0.8040431615644144;-0.32435103567200324
64;-0.7639745217517319;-0.27805022948059693
65;-0.40009659303129835;-0.1520089347530192
66;-0.7624169768817671;-0.26451720806493306
67;-0.2087234355295403;-0.07850813627099956
68;-0.12421060582637324;-0.04754708613832542
69;-0.5174086675830548;-0.17121118745551603
70;-0.28456586720978216;-0.09498561585389984
71;-0.5881540956532195;-0.1797213392069611
72;-0.5194969634873273;-0.13198069907166932
73;-0.6224882761289287;-0.13982970386164276
74;-0.47493985732131067;-0.09321014927363355
75;-0.0137844702623708;-0.0024471165860692175
76;-0.05131173184446139;-0.008432447753890205
