node_index;latitude;longitude
1;0;0
2;0.22926644451790515;0.31714331892892733
3;0.23925390577268354;0.32248966702690307
4;0.1406982785699105;0.3200109248574975
5;0.19470161157839694;0.3747469829694332
6;0.2593093894217463;0.34415880672500626
7;0.2291310175023181;0.3295633570409373
8;0.21008390448180694;0.34505265471015184
9;0.14452770166815643;0.3684788888259997
10;0.2867994575099381;0.34740795729575913
11;0.21647877525997825;0.2626528792216708
12;0.2216115384129516;0.38935108409757957
13;0.23164047091740755;0.47789653388327913
14;0.235767314657121;0.3924084563918886
15;0.14833863575042286;0.2986912740266341
16;0.28836602835519676;0.3903700066224703
17;0.18227616395412982;-0.05894073244469298
18;0.14393327587530116;0.007557858366530772
19;0.1323356558879763;-0.027697020285728832
20;0.12982000268165048;0.03596596706946515
21;0.19116828820894366;-0.04523216369234892
22;0.19510470052095424;-0.04901648684857147
23;0.18377215202378838;-0.02583812345840922
24;0.14323992434495691;-0.02529323891583461
25;0.13107734145311192;-0.05508882438894555
26;0.11651039540781204;0.02714155798356617
27;0.18818323220578947;0.021162618560609213
28;0.17242207191909056;-0.06573738638807966
29;0.10036092238474709;-0.018071459569161032
30;0.11903608530885658;0.070703486149081
31;0.14252158260644615;-0.03073358294587658
32;0.20998529987124506;-0.3416819589250905
33;0.1741818597572092;-0.4190691719121826
34;0.15739090123252863;-0.3468928836110962
35;0.23313047093609685;-0.33773737966845996
36;0.2518007920117056;-0.3789406531445086
37;0.18420312699436633;-0.4445079543135593
38;0.26491136335640425;-0.36247477036120773
39;0.169124359760135;-0.3294056771178037
40;0.16084627283553712;-0.3821649562161898
41;0.15833184933216965;-0.32639066193585287
42;0.2565580058919129;-0.33806276749645015
43;0.19056199839512764;-0.4256926835587349
44;0.1648774745741239;-0.41999357741947396
45;0.08699317783286495;-0.37998329130479086
46;0.20907680049191438;-0.36232549121242036
47;-0.21817923798222583;0.14104020233452327
48;-0.08632225576697192;0.14488032193717243
49;-0.08398417340146232;0.17426251862933345
50;-0.16355860635483938;0.10960776760172398
51;-0.1754245519631833;0.1755573115538945
52;-0.08304879950951505;0.10892027562186585
53;-0.1580560154048144;0.22117739254371419
54;-0.11759855848772761;0.08265211358105815
55;-0.10685476148768669;0.20598421478848006
56;-0.15490634186501534;0.24626258090784242
57;-0.12293171499326158;0.07067294347683535
58;-0.14382033152454002;0.11035667919796274
59;-0.09470101284737723;0.1806262398359886
60;-0.14109733696997462;0.1759225780647785
61;-0.12001823752237352;0.10970953460997139
62;-0.029394775585670194;0.12735211129037288
63;-0.00024373577734719543;0.12708110751928361
64;-0.004194723419516551;0.18787786267994794
65;-0.01800466319961484;0.1698600520098429
66;-0.05236262353997455;0.10789149297178555
67;0.00780313182093504;0.12123919192744667
68;-0.028314030145471826;0.09875647680301043
69;-0.08143560120531873;0.14671871755187427
70;-0.070484102751403;0.11235170714830597
71;-0.03733743741214;0.15949550876698362
72;0.002339948504814067;0.12009618348535492
73;-0.0973712158364877;0.1736037939468884
74;-0.04162628683543741;0.12719687506919916
75;-0.03414428329776551;0.1381510588200762
76;0.01577724228512941;0.12275252683862706
