10
1 1 0.0
1 2 41.34
1 3 3.606
1 4 63.246
1 5 23.707
1 6 35.468
1 7 63.702
1 8 19.723
1 9 74.431
1 10 74.653
2 1 41.34
2 2 0.0
2 3 42.942
2 4 22.023
2 5 17.804
2 6 13.0
2 7 26.249
2 8 53.367
2 9 58.592
2 10 37.947
3 1 3.606
3 2 42.942
3 3 0.0
3 4 64.661
3 5 25.632
3 6 36.069
3 7 64.351
3 8 16.125
3 9 72.835
3 10 75.073
4 1 63.246
4 2 22.023
4 3 64.661
4 4 0.0
4 5 39.825
4 6 30.364
4 7 14.213
4 8 73.736
4 9 58.138
4 10 22.561
5 1 23.707
5 2 17.804
5 3 25.632
5 4 39.825
5 5 0.0
5 6 16.125
5 7 42.19
5 8 38.013
5 9 64.327
5 10 53.712
6 1 35.468
6 2 13.0
6 3 36.069
6 4 30.364
6 5 16.125
6 6 0.0
6 7 28.284
6 8 43.463
6 9 49.336
6 10 39.205
7 1 63.702
7 2 26.249
7 3 64.351
7 4 14.213
7 5 42.19
7 6 28.284
7 7 0.0
7 8 70.491
7 9 44.204
7 10 11.705
8 1 19.723
8 2 53.367
8 3 16.125
8 4 73.736
8 5 38.013
8 6 43.463
8 7 70.491
8 8 0.0
8 9 68.71
8 10 80.0
9 1 74.431
9 2 58.592
9 3 72.835
9 4 58.138
9 5 64.327
9 6 49.336
9 7 44.204
9 8 68.71
9 9 0.0
9 10 42.154
10 1 74.653
10 2 37.947
10 3 75.073
10 4 22.561
10 5 53.712
10 6 39.205
10 7 11.705
10 8 80.0
10 9 42.154
10 10 0.0
