1 10000
100
84 0 10000
40 0 10000
55 0 10000
37 0 10000
13 0 10000
74 0 10000
78 0 10000
32 0 10000
12 0 10000
70 0 10000
79 0 10000
92 0 10000
42 0 10000
77 0 10000
68 0 10000
39 0 10000
63 0 10000
39 0 10000
66 0 10000
79 0 10000
88 0 10000
25 0 10000
3 0 10000
84 0 10000
83 0 10000
36 0 10000
93 0 10000
5 0 10000
80 0 10000
9 0 10000
6 0 10000
28 0 10000
7 0 10000
50 0 10000
57 0 10000
15 0 10000
67 0 10000
16 0 10000
69 0 10000
67 0 10000
47 0 10000
34 0 10000
78 0 10000
15 0 10000
42 0 10000
70 0 10000
95 0 10000
7 0 10000
22 0 10000
53 0 10000
51 0 10000
24 0 10000
55 0 10000
36 0 10000
84 0 10000
80 0 10000
86 0 10000
53 0 10000
4 0 10000
13 0 10000
34 0 10000
48 0 10000
45 0 10000
95 0 10000
23 0 10000
91 0 10000
17 0 10000
52 0 10000
99 0 10000
21 0 10000
58 0 10000
6 0 10000
65 0 10000
10 0 10000
8 0 10000
5 0 10000
43 0 10000
77 0 10000
18 0 10000
51 0 10000
51 0 10000
41 0 10000
68 0 10000
57 0 10000
80 0 10000
69 0 10000
80 0 10000
60 0 10000
73 0 10000
85 0 10000
45 0 10000
79 0 10000
40 0 10000
67 0 10000
38 0 10000
89 0 10000
62 0 10000
23 0 10000
93 0 10000
26 0 10000
